text,label,clean_text,predicted
"Min, aku saranin CF selanjutnya tambahin lagi 1 atau 2 bis transit Cisauk nya min, kapan itu hari Sabtu ngantri panjang bgt dari jam 6 sampe jam 8 keatas ada kayaknya. Aku yang perlu balik ke naik kereta ke arah Merak hampir ketinggalan kereta terakhir 🥲.",positif,min aku saranin cf lanjut tambahin atau bis transit cisauk min kapan hari sabtu ngantri panjang jam sampe jam atas kayak aku yang perlu balik naik kereta arah merak hampir tinggal kereta akhir,positif
"Next time, panitia tolong kerja yang bener... Minta ganti meja 4x karena tidak imbang, hanya difoto 3x, dan saat dikasih solusi (hanya di ganjal), kita sedang pasang display. MEJA DEPAN DI DAY 2 KOSONG MELOMPONG! Seharusnya bisa ada tenan / circle yang memenuhi meja tersebut.",negatif,next time panitia tolong kerja yang minta ganti meja x karena imbang hanya foto x saat kasih solusi hanya ganjal sedang pasang display meja depan day kosong melompong harus tenan circle yang penuh meja sebut,negatif
"Comifuro adalah ajang temen-temen fandom buat bersosialisasi dan berjejaring, dan harusnya jadi ruang sosialisasi yang terbuka, bukan tempat ekspresi fasisme. MOHON sikap yang tegas terkait cosplayer + circle yang cosplay kostum Nazi +.",negatif,comifuro adalah ajang tementemen fandom buat sosial berjejaring harus ruang sosialisasi yang buka bukan tempat ekspresi fasisme mohon sikap yang tegas kait cosplayer circle yang cosplay kostum nazi,negatif
"1. tolong briefing panitia dengan jelas, kalo bisa yg udh ada pengalaman. bukan cm mau masuk, mejeng atau sekedar ""yg penting bs dimasukin ke cv"" 2. adain colokan tiap booth, at least per-2 booth yg sebelahan. masa bayar booth mahal2 tp ga ada colokan -_- minimal improve lah.",negatif,tolong briefing panitia jelas udh alam bukan cm mau masuk mejeng atau dar penting bs dimasukin cv adain colok tiap booth at least per booth belah masa bayar booth mahal tp colok minimal improve lah,negatif
"mint, adakah solusi buat berantas copet di event comifuro yang akan datang? karena pin lando norris-ku ada yang ambil 😭😭🥹🥹.",negatif,mint ada solusi buat berantas copet event comifuro yang datang karena pin lando norrisku yang ambil,negatif
harga makanan di tenant fnb murahin dikit pls.,negatif,harga makan tenant fnb murahin dikit pls,negatif
"saran aja, tempat antrian reguler diarahin dari beberapa titik karena aku sempat nyasar 😭😭udah dari jam 6an di hall 10belakang, kukira disana kok sepi pas ku tanya disebelah lalu ke sebelah rupanya diparkiran tenda putih. 😭😭.",negatif,saran tempat antri reguler diarahin beberapa titik karena aku sempat nyasar jam an hall belakang kira sana kok sepi ku tanya belah lalu belah rupa parkir tenda putih,negatif
percuma ngasih saran ke comifuro guys.. gak pernah di dengar+dilaksanakan... dari dulu masih sama aja kok emang MALAS aja mereka bacanya+berbenah biar makin bagus udah 11/12 lahh sama kaya DPR.,negatif,percuma ngasih saran comifuro guys pernah dengardilaksanakan dulu sama kok malas bacanyaberbenah biar makin bagus lahh sama kaya dpr,negatif
min tolong lost and foundnya ada apa aja 😭😭😭😭😭😭 aku udh nangis sejam tolong 😭😭😭😭😭.,negatif,min tolong lost and foundnya apa aku udh nang jam tolong,positif
Makasih sudah berusaha bebenah diri walaupun waktunya mepet bangettttt wkwkwk Setidaknya kalian membuktikan kalau kalian masih layak utk di kunjungi 👍.,positif,makasih usaha bebenah diri walaupun waktu mepet bangettttt wkwkwk tidak kalian bukti kalian layak utk kunjung,positif
